---- ---- ---- ---- ROOT NO <mainFunction>
main   2   MAIN   main   <mainFunction> YES MAIN
[   2   SQO   [   <mainFunction> YES SQO
]   2   SQC   ]   <mainFunction> YES SQC
---- ---- ---- ---- <mainFunction> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <declarationStmt>
---- ---- ---- ---- <declarationStmt> NO <type>
int   3   INT   int   <type> YES INT
---- ---- ---- ---- <declarationStmt> NO <var_list>
a   3   ID   a   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
,   3   COMMA   ,   <more_ids> YES COMMA
---- ---- ---- ---- <more_ids> NO <var_list>
b   3   ID   b   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
,   3   COMMA   ,   <more_ids> YES COMMA
---- ---- ---- ---- <more_ids> NO <var_list>
c   3   ID   c   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
,   3   COMMA   ,   <more_ids> YES COMMA
---- ---- ---- ---- <more_ids> NO <var_list>
d   3   ID   d   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
---- ---- ---- ---- <more_ids> NO e
;   3   SEMICOLON   ;   <declarationStmt> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <declarationStmt>
---- ---- ---- ---- <declarationStmt> NO <type>
real   4   REAL   real   <type> YES REAL
---- ---- ---- ---- <declarationStmt> NO <var_list>
p   4   ID   p   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
,   4   COMMA   ,   <more_ids> YES COMMA
---- ---- ---- ---- <more_ids> NO <var_list>
q   4   ID   q   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
,   4   COMMA   ,   <more_ids> YES COMMA
---- ---- ---- ---- <more_ids> NO <var_list>
r   4   ID   r   <var_list> YES ID
---- ---- ---- ---- <var_list> NO <more_ids>
---- ---- ---- ---- <more_ids> NO e
;   4   SEMICOLON   ;   <declarationStmt> YES SEMICOLON
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtAndFunctionDefs1>
---- ---- ---- ---- <stmtAndFunctionDefs1> NO <stmtsAndFunctionDefs>
---- ---- ---- ---- <stmtsAndFunctionDefs> NO <stmtOrFunctionDef>
---- ---- ---- ---- <stmtOrFunctionDef> NO <stmt>
---- ---- ---- ---- <stmt> NO <declarationStmt>
